"normalized_name","correct_name"
"sankyo","sankyo"
"tyk","東洋耐火煉瓦"
"東洋刃物","東洋刃物"
"オリンピック","olympic"
"ニラクジーシーホールディングス","ニラク・ジー・シー・ホールディングス"
"日本cmk","日本cmk"
"サトウ食品工業","佐藤食品工業"
"三菱ufjfg","三菱ufjフィナンシャルグループ"
"椿本チェイン","椿本チエイン"
"コニカミノルタホールディングス","コニカミノルタ"
"sompoホールディングス","sompoホールディングス"
"mrmaxhd","mrmaxholdings"
"三菱ガス化学","三菱瓦斯化学"
"栗本鐡工所","栗本鐵工所"
"jms","ジェイ・エム・エス"
"旭有機材工業","旭有機材"
"シーケーディ","ckd"
"テクスケムリソーシス","テクスケム・リソーシズ"
"銭高組","錢高組"
"エヴィクサー","エヴィクサー"
"榮成紙業","榮成紙業"
"近畿車輌","近畿車輛"
"トーヨーマテリア","トーヨーマテリア"
"サカイオーベックス","サカイオーベックス"
"岡本工作機械製作所","岡本工作機械製作所"
"岡谷鋼機","岡谷鋼機"
"東海運","東海運"
"東海カーボン","東海カーボン"
"大氣社","大気社"
"高島屋","髙島屋"
"バロー","バローホールディングス"
"白洋舎","白洋舍"
"東京ガス","東京瓦斯"
"ktc","京都機械工具"
"東京電力","東京電力ホールディングス"
"三菱自動車","三菱自動車工業"
"東亜合成","東亞合成"
"大阪ガス","大阪瓦斯"
"西部ガス","西部ガスホールディングス"
"タキヒョー","タキヒヨー"
"日本ガイシ","日本碍子"
"日本ルツボ","日本坩堝"
"三桜工業","三桜工業"
"jsp","jsp"
"静岡瓦斯","静岡ガス"
"センコー","センコーグループホールディングス"
"日本生命保険","日本生命保険相互会社"
"麒麟麦酒","キリンホールディングス"
"山口銀行","山口フィナンシャルグループ"
